# Ohio State Mathematics faculty MGP roster
# OSU faculty source: https://math.osu.edu/people
# MGP source: https://www.genealogy.math.ndsu.nodak.edu/
# Generated: 2026-07-13
#
# Scope: Chair, Faculty and Faculty sections only. Postdocs & Visitors are excluded.
#
# Columns:
# osu_name	mgp_id	mgp_name	mgp_degree_school	mgp_degree_year	osu_phd_from_profile	verification_status	note

Matthew Kahle	113092	Kahle, Matthew	University of Washington	2007	PhD: University of Washington (2007)	checked	
David Anderson	144175	Anderson, David	University of Michigan	2009	PhD: University of Michigan (2009)	checked	
Vitaly Bergelson	11331	Bergelson, Vitaly	Hebrew University of Jerusalem	1984	PhD: Hebrew University of Jerusalem (1984)	checked	
Janet Best	22980	Best, Janet	Cornell University	2004	PhD: Cornell University (2004)	checked	
Nathan Broaddus	33047	Broaddus, Nathan	Columbia University	2003	PhD: Columbia University (2003)	checked	
Kaifeng Bu	293938	Bu, Kaifeng	Zhejiang University	2019	PhD: Zhejiang University (2019)	checked	
Mirel Caibar	83029	Caibar, Mirel	University of Warwick	1999	PhD: University of Warwick (1999)	checked	
Sergei Chmutov	52911	Chmutov, Sergei	Lomonosov Moscow State University	1985	PhD: Moscow State University (1985)	checked	OSU uses the shorter school name.
Micah Chrisman	145928	Chrisman, Micah	University of Hawaii at Manoa	2006	not listed on OSU profile	osu phd not listed	
Ovidiu Costin	6276	Costin, Ovidiu	Rutgers University, New Brunswick	1995	PhD: Rutgers University (1995)	checked	
Rodica Costin	86748	Costin, Rodica	Rutgers University, New Brunswick	1997	PhD: Rutgers University (1997)	checked	
Cesar Cuenca	251236	Cuenca, Cesar	Massachusetts Institute of Technology	2019	not listed on OSU profile	osu phd not listed	
Angelica Cueto	149614	Cueto, Maria Angelica	University of California, Berkeley	2010	not listed on OSU profile	osu phd not listed	MGP lists her as Maria Angelica Cueto.
Adriana Dawes	345875	Dawes, Adriana	University of British Columbia	2006	PhD: University of British Columbia (2006)	checked	
Andrzej Derdzinski	115184	Derdzinski, Andrzej	Uniwersytet Wroclawski	1976	PhD: Uniwersytet Wroclawski (1976)	checked	
Marjorie Drake	345876	Drake, Marjorie	University of Texas at Austin	2021	not listed on OSU profile	osu phd not listed	
Neil Falkner	17642	Falkner, Neil	University of British Columbia	1978	PhD: University of British Columbia (1978)	checked	
James (Jim) Fowler	139744	Fowler, James	The University of Chicago	2009	PhD: University of Chicago (2009)	checked	
Sachin Gautam	154782	Gautam, Sachin	Northeastern University	2011	PhD: Northeastern University (2011)	checked	
Andrey Gogolyev	188830	Gogolev, Andrey	The Pennsylvania State University	2009	not listed on OSU profile	osu phd not listed	MGP spells surname as Gogolev.
Dusty Grundmeier	155846	Grundmeier, Dusty	University of Illinois at Urbana-Champaign	2011	not listed on OSU profile	osu phd not listed	
Bo Guan	39040	Guan, Bo	University of Massachusetts Amherst	1992	PhD: University of Massachusetts (1992)	checked	MGP specifies Amherst.
Maria Han Veiga	259364	Han Veiga, Maria	Universitat Zurich	2020	not listed on OSU profile	osu phd not listed	
John Harper	134061	Harper, John	University of Notre Dame	2008	PhD: University of Notre Dame (2008)	checked	
Jimmy He	275511	He, Jimmy	Stanford University	2021	PhD: Stanford University (2021)	checked	
Ivo Herzog	3070	Herzog, Ivo	University of Notre Dame	1989	PhD: University of Notre Dame (1989)	checked	
Ghaith Hiary	141925	Hiary, Ghaith	University of Minnesota - Twin Cities	2008	PhD: University of Minnesota (2008)	checked	MGP specifies Twin Cities.
John Holmes	203700	Holmes, John	University of Notre Dame	2015	not listed on OSU profile	osu phd not listed	
Roman Holowinsky	104219	Holowinsky, Roman	Rutgers University, New Brunswick	2006	PhD: Rutgers University (2006)	checked	
Jingyin Huang	223192	Huang, Jingyin	New York University	2015	PhD: New York University (2015)	checked	
Zhenzhen Huang	325699	Huang, Zhenzhen	University of Waterloo	2024	not listed on OSU profile	osu phd not listed	
Yifan Jing	277474	Jing, Yifan	University of Illinois at Urbana-Champaign	2021	not listed on OSU profile	osu phd not listed	
